track_id,true_subgenre,subgenre_centroid_assignment,kmeans_cluster_assignment
Dark Techno/Velasquez_-_Arise_Original_Mix,Dark Techno,Dark Techno,1
Emotional Techno/303_Sound_Of_The_Underground,Emotional Techno,Emotional Techno,6
Emotional Techno/Akros_-_Loud_Enough,Emotional Techno,Emotional Techno,3
Emotional Techno/Almost_There,Emotional Techno,Emotional Techno,6
Emotional Techno/COLOUR_MY_HEART,Emotional Techno,Emotional Techno,5
Emotional Techno/Eigentlich_Trance_Version,Emotional Techno,Party Goa,5
Emotional Techno/FoxTune_-_YOU_MAKE_ME_FEEL_ALIVE,Emotional Techno,Emotional Techno,6
Emotional Techno/Gusted_-_Jet_Plane,Emotional Techno,Emotional Techno,6
Emotional Techno/LIGHTS_GO_DOWN_-_Sped_Up,Emotional Techno,Emotional Techno,6
Emotional Techno/lonelysoul_x_KAMI_-_Miracle_Techno_Remix,Emotional Techno,Emotional Techno,6
Emotional Techno/PAST_LIVES_-_HARDTEKK,Emotional Techno,Emotional Techno,6
Emotional Techno/Patience,Emotional Techno,Emotional Techno,6
Emotional Techno/southstar_-_Cover_Up_My_Face_Official_Visualizer,Emotional Techno,Emotional Techno,6
Emotional Techno/Telephone_LUCKY_DEMON_STRWBERRY_Dallax_Techno_Remix,Emotional Techno,Emotional Techno,6
Emotional Techno/Us_Two,Emotional Techno,Emotional Techno,6
Emotional Techno/Would_You_Say_Yes,Emotional Techno,Emotional Techno,1
Party Goa/Best_Of_You,Party Goa,Party Goa,2
Party Goa/Cloud7_-_Lost_Cartoon_Video,Party Goa,Emotional Techno,5
Party Goa/Jilax_-_Shadows_2023_Edit,Party Goa,Party Goa,2
Party Goa/Lost,Party Goa,Party Goa,5
Party Goa/LUMX_Gabry_Ponte_-_Monster_Lyrics,Party Goa,Party House,5
Party Goa/PSY-TRANCE_George_Michael_-_Careless_Whisper_TOX1C_Remix,Party Goa,Party Goa,2
Party Goa/PSY-TRANCE_Imagine_Dragons_-_Believer_Flash_Jack_Remix,Party Goa,Party Goa,2
Party Goa/PSY-TRANCE_I_Like_To_Move_It_WoZa_Remix_Madagascar,Party Goa,Party Goa,2
Party Goa/PSY-TRANCE_Sevenn_feat_Kathy_-_Colors_Of_The_Rainbow_UltimateBlast_Dorel_Remix,Party Goa,Party Goa,5
Party Goa/Psycho_Remix,Party Goa,Party Goa,2
Party Goa/The_Road_Im_On,Party Goa,Chiller vibe goa,2
Party Goa/WHITENO1SE_Ranji_Ft_Nina_Nesbitt_-_The_Moments_Im_Missing_Radio_Edit,Party Goa,Party Goa,5
Party House/DIE_YOUNG_-_Old_Jim_Guapa_Official_Video,Party House,Party House,0
Party House/DOD_-_Sleepless,Party House,Party House,0
Party House/Jay_Pryor_-_All_This,Party House,Party House,0
Party House/Jyye_-_Tender_Love,Party House,Party House,0
Party House/LEAVE_THE_LIGHTS_ON-Phatt_Lenny_Dwin,Party House,Party House,0
Party House/Loud_Luxury_-_Sex_Like_Me,Party House,Party House,0
Party House/Nathan_Dawe_x_Shayan_-_Over_You_Official_Lyric_Video,Party House,Party House,0
Party House/Nea_-_Some_Say_-_Felix_Jaehn_Remix,Party House,Party House,0
Party House/NORTKASH_BROHM_-_SHE_DOESNT_MIND,Party House,Party House,0
Party House/NO_STRESS_-_Froro_Official_Video,Party House,Party House,0
Party House/SWEATER_WEATHER_Gaullin_Remix,Party House,Party House,0
Party House/Tchami_-_After_Life_Feat_Stacy_Barthe,Party House,Party House,0
Party House/Tchami_-_Promesses_Pep_Rash_Bootleg,Party House,Party House,0
Party House/WRITTEN_IN_THE_STARS_-_Kastuvas_Official_Video,Party House,Party House,0
Zyzz Music/.webm,Zyzz Music,Zyzz Music,4
Zyzz Music/AGONY_Flerian_Lieless_-_In_Your_Head_Official_Music_Video,Zyzz Music,Zyzz Music,4
Zyzz Music/Alec_Benjamin_-_Let_Me_Down_Slowly_Tevvez_Remix_Parallel_Universe,Zyzz Music,Zyzz Music,4
Zyzz Music/ANGUISH_hxvvxn_Risuyu_krovyu_Official_Video,Zyzz Music,Emotional Techno,6
Zyzz Music/ANGUISH_ily_-_Krasavitsa_OUT_ON_SPOTIFY,Zyzz Music,Zyzz Music,4
Zyzz Music/Can_You_Feel_My_Heart_feat_Annie_Hardstyle,Zyzz Music,Zyzz Music,4
Zyzz Music/Dance_of_Angels_Zyzz_Hardstyle,Zyzz Music,Zyzz Music,4
Zyzz Music/dont_stop_the_music_Hardstyle,Zyzz Music,Zyzz Music,4
Zyzz Music/Etazhi_-_Remix,Zyzz Music,Zyzz Music,4
Zyzz Music/Heaven_Eternity_Hardstyle_Zyzz_Said,Zyzz Music,Zyzz Music,4
Zyzz Music/Lights_On,Zyzz Music,Zyzz Music,4
Zyzz Music/lil_peep_x_lil_tracy_-_WitchBlades_CrazyScarry_Bootleg,Zyzz Music,Zyzz Music,4
Zyzz Music/Oblivion_Zyzz_Hardstyle,Zyzz Music,Zyzz Music,4
Zyzz Music/RAVE_-_LOVE_ON_RAVE,Zyzz Music,Zyzz Music,4
Zyzz Music/SICK_CVNT_-_LIVIN_LA_VIDA_LOCA_HARDSTYLE,Zyzz Music,Zyzz Music,5
Zyzz Music/Stay_High,Zyzz Music,Zyzz Music,4
